epoch,train_loss,acc,f1,auc
1,0.5337979357392355,0.7784356652403224,0.8364395013480059,0.823567983575095
2,0.450137515626658,0.7964573589411882,0.8497664306489996,0.8494080060240929
3,0.42028918300703144,0.7999601950442831,0.8531993515124074,0.8556042108513701
4,0.40752674783429793,0.8016320031843964,0.8541194034219809,0.8564584226532088
5,0.4007041821151921,0.8042591302617176,0.8547074204842594,0.8575748358175589
6,0.39479533642378645,0.8050054731814111,0.854317683357496,0.8574248739941494
7,0.38941018478170114,0.8044183500845855,0.8570784490532011,0.8575892150536926
8,0.3846162071353511,0.8048263508806847,0.854745417515275,0.8585266293958478
9,0.3797184034094139,0.8065678176933028,0.8565778794362872,0.858308027072056
10,0.37513847049509125,0.8061598168972037,0.8551714908139215,0.8581033461993661
11,0.37125526194054326,0.8057219623843168,0.8568684521147516,0.8564610200182344
